,Unnamed: 0,title,author,date,thumb,excerpt,article_url,website_name,display_date
25,25,Shytoshi Kusama Posts Mysterious Tweet – Here’s What Hint May Be for SHIB Army,Yuri Molchan,2023-10-14 11:28:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/41103.jpg,"<p lang=""en-GB"">The leader of the Shiba Inu development team, known under the pseudonym <a href=""https://u.today/shytoshi-kusama-names-one-vital-reason-for-future-shib-price-rise"">Shytoshi Kusama</a>, has taken to the social media platform (formerly popular as Twitter) to share a cryptic message with the SHIB army.</p>",http://u.today//shytoshi-kusama-posts-mysterious-tweet-heres-what-hint-may-be-for-shib-army,U Today,October 14 2023
3,3,"Shiba Inu (SHIB), LEASH, BONE Significant Development Underway: Details",Tomiwabold Olajide,2023-10-14 11:00:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/41102.jpg,"<p>Shiba Inu ecosystem official <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/LucieSHIB/status/1713103748115972171"">Lucie</a> shares an exciting update on Shiba Inu ecosystem tokens SHIB, BONE and LEASH.</p>",http://u.today//shiba-inu-shib-leash-bone-significant-development-underway-details,U Today,October 14 2023
28,28,Dormant Ethereum Whale Sells Millions in ETH on Binance With Massive Profit: Details,Yuri Molchan,2023-10-14 10:03:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44094.jpg,"<p lang=""en-GB"">Blockchain sleuth @OnchainDataNerd has reported that earlier today, a whale awakened after three years of zero activity and made a big transfer of <a href=""https://u.today/ethereums-plummeting-below-1600-creates-alarming-case"">ETH</a> to the Binance exchange.</p>",http://u.today//dormant-ethereum-whale-sells-millions-in-eth-on-binance-with-massive-profit-details,U Today,October 14 2023
2,2,"Ferrari Now Accepts Payment in BTC, ETH, XRP",Godfrey Benjamin,2023-10-14 09:44:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44097.jpg,"<p dir=""ltr"">Crypto is going mainstream after top luxury brand Ferrari announced it is now accepting digital currencies for its high-end cars. As <a rel=""nofollow"" target=""_blank"" href=""https://www.reuters.com/business/autos-transportation/ferrari-accept-crypto-payment-its-cars-us-2023-10-14/"">reported</a> by Reuters, the new allowance from Ferrari is only open to U.S. customers but plans to extend into the European Union in the coming months based on the demand of its customers.</p>",http://u.today//ferrari-now-accepts-payment-in-btc-eth-xrp,U Today,October 14 2023
27,27,Dogecoin May See Start of New Bull Run to $1 If This Scenario Plays Out: Analyst,Yuri Molchan,2023-10-14 08:50:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44095.jpg,"<p lang=""en-GB"">Crypto analyst and trader Ali Martinez has shared his take on the future potential <a href=""https://u.today/elon-musk-supports-dogecoin-creators-thesis"">Dogecoin</a> price performance. The expert believes that the original canine cryptocurrency based on Shiba Inu memes may potentially rise to as high as $1.</p>",http://u.today//dogecoin-may-see-start-of-new-bull-run-to-1-if-this-scenario-plays-out-analyst,U Today,October 14 2023
29,29,"Loom Network (LOOM) Shows Explosive Performance, and Here's Reason",Arman Shirinyan,2023-10-14 01:00:00.000000,/sites/default/files/styles/736/public/2023-10/44085.jpg,"<p dir=""ltr"">Loom network's native token, <a rel=""nofollow"" target=""_blank"" href=""https://coinmarketcap.com/currencies/loom-network/"">LOOM</a>, has been on a meteoric rise, showing explosive performance on the crypto market. One might wonder about the catalyst behind such bullish momentum, and it is linked to an exciting <a href=""https://u.today/solana-sol-developer-ready-to-pay-400000-if-you-find-this-piece-of-code"">development</a>.</p>",http://u.today//loom-network-loom-shows-explosive-performance-and-heres-reason,U Today,October 14 2023
10,10,Rising Whale Activity on These Three Ethereum-Based Altcoins a Sign of Potential Bullish Turnaround: Santiment,Mark Emem,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/Rising-Whale-Activity.jpg?w=350&h=250&crop=1,Crypto analytics platform Santiment says that three altcoins are showing signs of potentially reversing course...,https://dailyhodl.com/2023/10/14/rising-whale-activity-on-these-three-ethereum-based-altcoins-a-sign-of-potential-bullish-turnaround-santiment/,The Daily Hodl,October 14 2023
11,11,"Cardano on the Cusp of a ‘Decisive Move’ to the Downside, Says Top Analyst Benjamin Cowen – Here’s the Timeline",Mark Emem,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/Cardano-on-the-Cusp.jpg?w=350&h=250&crop=1,A widely followed crypto strategist believes Cardano (ADA) is close to making a steep move...,https://dailyhodl.com/2023/10/14/cardano-on-the-cusp-of-a-decisive-move-to-the-downside-says-top-analyst-benjamin-cowen-heres-the-timeline/,The Daily Hodl,October 14 2023
2,2,"$1,700,000,000,000 US Budget Deficit Shattered in 2023 As IMF Issues Warning on America’s ‘Worrying and Deteriorating’ Fiscal Trajectory",Henry Kanapi,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/dollar-fiscal-deficit.jpg?w=350&h=250&crop=1,New numbers show the US government's spending exceeded its revenues to the tune of more...,https://dailyhodl.com/2023/10/14/1700000000000-us-budget-deficit-shattered-in-2023-as-imf-issues-warning-on-americas-worrying-and-deteriorating-fiscal-trajectory/,The Daily Hodl,October 14 2023
3,3,"Binance.US Updates Crypto Listing Process, Says Exchange Considering Launching Trading Support for Aptos Rival",Conor Devitt,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/binance-listing-process.jpg?w=350&h=250&crop=1,Binance's US arm is updating the way it lists crypto assets by giving traders advance...,https://dailyhodl.com/2023/10/14/binance-us-updates-crypto-listing-process-says-exchange-considering-launching-trading-support-for-aptos-rival/,The Daily Hodl,October 14 2023
9,9,FTX Estate is Staking 5.5M Solana Tokens: Whale Alert,Ikemefula Aruogu,2023-10-14 00:00:00.000000,https://coinedition.com/wp-content/uploads/2022/11/Price-analysis-7.jpg,"<p>According to Ashpool, an X account renowned for crypto research, <a href=""https://coinedition.com/tag/ftx-news/"">FTX</a> estate is staking 5.5 million SOL. In its post, Ashpool referenced another post from Whale Alert showing an SOL transaction between two unknown wallets to the tune of 5,546,217 SOL, equivalent to $121,255,031. </p>",https://coinedition.com/ftx-estate-is-staking-5-5m-solana-tokens-whale-alert/,Coin Edition,October 14 2023
8,8,There is a 90% Chance of Bitcoin ETF Approval by January: Analyst,Ikemefula Aruogu,2023-10-14 00:00:00.000000,https://coinedition.com/wp-content/uploads/2023/08/ETF-Was-GBTC-Ultimate-Goal-696x392.jpg,"<p>According to the famous <a href=""https://coinedition.com/what-is-bitcoin-everything-you-need-to-know/"">Bitcoin</a> investor Lark Davis, several analysts believe there is a 90% chance that Bitcoin ETFs will be approved by January. Davis made the statement via a post on X (formerly Twitter) and was supported by other crypto users with a similar sentiment.</p>",https://coinedition.com/there-is-a-90-chance-of-bitcoin-etf-approval-by-january-analyst/,Coin Edition,October 14 2023
4,4,"Potential Spot Bitcoin ETF Greenlight Has Already Been ‘Partially Priced In,’ Says Top Coinbase Researcher",Conor Devitt,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/spot-already-been.jpg?w=350&h=250&crop=1,A Coinbase researcher says the impact of a potential regulatory greenlight for a US spot...,https://dailyhodl.com/2023/10/14/potential-spot-bitcoin-etf-greenlight-has-already-been-partially-priced-in-says-top-coinbase-researcher/,The Daily Hodl,October 14 2023
5,5,"Bitcoin Lightning Network Sees 1,212% Growth in Routed Transactions in Two Years, According to BTC Tech Company",Conor Devitt,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/growth-routed-two-years.jpg?w=350&h=250&crop=1,The Lightning Network has seen massive transaction growth in the past two years despite Bitcoin's...,https://dailyhodl.com/2023/10/14/bitcoin-lightning-network-sees-1212-growth-in-routed-transactions-in-two-years-according-to-btc-tech-company/,The Daily Hodl,October 14 2023
6,6,Legendary Investor Jim Rogers Warns Era of US Dollar Dominance Is Coming to an End,Henry Kanapi,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/dollars-dominance-rogers.jpg?w=350&h=250&crop=1,Famed American investor Jim Rogers believes the long reign of the US dollar is drawing...,https://dailyhodl.com/2023/10/14/legendary-investor-jim-rogers-warns-era-of-us-dollar-dominance-is-coming-to-an-end/,The Daily Hodl,October 14 2023
7,7,"$2,300,000,000 in Investment Funding Flows to Blockchain Gaming in First Three Quarters of 2023: DappRadar",Mehron Rokhy,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/funding-flows-first-three.jpg?w=350&h=250&crop=1,New data from blockchain intelligence platform DappRadar reveals that $2.3 billion in funds have flowed...,https://dailyhodl.com/2023/10/14/2300000000-in-investment-funding-flows-to-blockchain-gaming-in-first-three-quarters-of-2023-dappradar/,The Daily Hodl,October 14 2023
8,8,"Here’s When Bitcoin Could Explode to a New All-Time High, According to Crypto Analyst Jason Pizzino",Daily Hodl Staff,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/btc-explode-new-all.jpg?w=350&h=250&crop=1,Crypto analyst Jason Pizzino is predicting when Bitcoin (BTC) could take off soaring to a...,https://dailyhodl.com/2023/10/14/heres-when-bitcoin-could-explode-to-a-new-all-time-high-according-to-crypto-analyst-jason-pizzino/,The Daily Hodl,October 14 2023
2,2,Should You Short or Long BIGTIME? Expert Suggests Watching This Metric,Abdulkarim Abdulwahab,2023-10-14 00:00:00.000000,https://coinedition.com/wp-content/uploads/2023/04/OnChain-Metrics-for-BTC-ETH.jpg,"<p>In a recent tweet, <a href=""https://coinedition.com/lookonchain-spots-whale-borrowing-34m-in-bnb-to-farm-cyber-sei/"">Lookonchain</a>, a well-known crypto market on-chain resource, highlighted the remarkable upswing in the price of the freshly listed cryptocurrency Big Time (BIGTIME). Specifically, Lookonchain raised a critical query for traders concerning assessing BIGTIME’s price changes, mainly whether to adopt a long or short position.</p>",https://coinedition.com/should-you-short-or-long-bigtime-expert-suggests-watching-this-metric/,Coin Edition,October 14 2023
9,9,"Crypto Analyst Says It’s ‘Inevitable’ Bitcoin Will Soar by Over 150%, Updates Outlook on Chainlink and Avalanche",Daily Hodl Staff,2023-10-14 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/Bitcoin-Will-Soar-150.jpg?w=350&h=250&crop=1,A closely followed crypto strategist says that it is only a matter of time before...,https://dailyhodl.com/2023/10/14/crypto-analyst-says-its-inevitable-bitcoin-will-soar-by-over-150-updates-outlook-on-chainlink-and-avalanche/,The Daily Hodl,October 14 2023
1,1,Here are 6 Reasons to be Bullish on Bitcoin: Crypto Analyst,Abdulkarim Abdulwahab,2023-10-14 00:00:00.000000,https://coinedition.com/wp-content/uploads/2023/04/Bitcoin-Volatility-Hits.jpg,"<p>Amid volatile market conditions, crypto YouTuber Zach Humphries, in a <a href=""https://www.youtube.com/watch?v=Jvglg4xcH80"" target=""_blank"" rel=""nofollow"">recent video</a>, revealed the six reasons why he is bullish on <a href=""https://coinedition.com/bitcoins-hourly-daily-and-weekly-performance-examined-by-chart-analyst/"">Bitcoin</a>. The analysts these reasons underscore Bitcoin’s current position as a market leader in the cryptocurrency space. </p>",https://coinedition.com/here-are-6-reasons-to-be-bullish-on-bitcoin-crypto-analyst/,Coin Edition,October 14 2023
0,0,Ripple's XRP Burn: Another Social Media Fake?,Alex Dovbnya,2023-10-13 19:54:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/36870.jpg,"<p>Recent chatter surrounding a potential large-scale burn of Ripple's XRP has caught significant attention within the <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/KingDoggoXRP/status/1712846613431894310"">community</a>, with prominent accounts amplifying the unsubstantiated rumor. However, there are no indications that the San Francisco-based giant is preparing to burn tokens from its escrow wallets. </p>",http://u.today//ripples-xrp-burn-another-social-media-fake,U Today,October 13 2023
2,2,"This Trader Is On The Brink Of Losing Money, Will Selling WBTC On Aave V2 Help?",Dalmas Ngetich,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/Crypto-news-Template70.jpg?resize=350%2C250,"A trader on Aave, a decentralized liquidity protocol operating on multiple platforms, including Ethereum and OP Mainnet, has begun selling wrapped Bitcoin (WBTC) to repay outstanding debt, records on October 13 reveal....",https://www.newsbtc.com/news/trader-brink-losing-money-selling-wbtc-aave/,NEWSBTC,October 13 2023
3,3,"Cardano (ADA) Addresses In Loss Rise Over 94%, Is It Time To Jump Ship?",Scott Matherson,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/Cardano-ADA.jpeg?resize=350%2C250,"Cardano is down 45.6% from its yearly high of $0.4518 and is showing no signs of slowing down at the moment. Data has shown that at its current price, the...",https://www.newsbtc.com/news/cardano/cardano-ada-addresses-loss/,NEWSBTC,October 13 2023
1,1,What To Expect If Historical Bitcoin Halving Cycles Repeat,Scott Matherson,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/Bitcoin-halving-1.jpeg?resize=350%2C250,"It's been quite a bearish week for Bitcoin, as the crypto has fallen around 3% since the beginning of the week. Price action, in particular, has had Bitcoin struggling to...",https://www.newsbtc.com/news/bitcoin/historical-bitcoin-halving-cycles/,NEWSBTC,October 13 2023
4,4,Man Makes A Fortune With $22 In Bitcoin: 3 Altcoins For October 2023 That Can Do This,Scott Matherson,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/Bitcoin-altcoins-crypto.jpeg?resize=350%2C250,"Bitcoin’s history is filled with stories of people who put small, disposable amounts of money into the crypto and ended up making a fortune. This has been no different from...",https://www.newsbtc.com/altcoin/bitcoin-3-altcoins-october/,NEWSBTC,October 13 2023
5,5,Failed Bullish Pattern Could Send Ethereum Sub-$1000,"Tony ""The Bull"" Severino",2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/shutterstock_1822493420.jpg?resize=350%2C250,"Ethereum price is trading at roughly $1,550 after failing to get back above $2,000 throughout the entirety of 2023 thus far. Increasingly higher lows during the year and a horizontal...",https://www.newsbtc.com/news/ethereum/failed-bullish-ethereum-sub-1000/,NEWSBTC,October 13 2023
6,6,"Cardano, Solana, And Ethereum Under Heat, Data Points To More Trouble For Altcoins",Reynaldo Marquez,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/Cardano-price-ADAUSDT-ADA-Solana-price-SOL-price-SOLUSDT.jpg?resize=350%2C250,"Bulls pushed back and momentarily halted the increasing selling pressure impacting Cardano, Solana, and Ethereum. The altcoin market has been stabilizing over the last day, but fresh data points to...",https://www.newsbtc.com/news/cardano/cardano-solana-and-ethereum-under-heat-data-points-to-more-trouble-for-altcoins/,NEWSBTC,October 13 2023
7,7,Crypto Analyst Breaks Down The Factors Behind The Bitcoin Price Decline,Scott Matherson,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/Bitcoin-.jpeg?resize=350%2C250,"As the bear market continues to linger, analysts have weighed in on the decline of the flagship cryptocurrency, Bitcoin, and the crypto market, by extension. This time, another crypto analyst...",https://www.newsbtc.com/news/bitcoin/factors-behind-bitcoin-decline/,NEWSBTC,October 13 2023
8,8,Top Rated Tether (USDT) Casinos,NewsBTC,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/cards-166436_1280.jpg?resize=350%2C250,Cryptocurrencies pushed online gambling to a new frontier. But their unstable market price is a constant danger for all crypto bankrolls. That’s where stablecoins jump in. These cryptos maintain a...,https://www.newsbtc.com/news/company/top-rated-tether-usdt-casinos/,NEWSBTC,October 13 2023
9,9,"Analyst Predicts Next Bitcoin Cycle Top – Is It $89,000 Or $135,000?",Jake Simmons,2023-10-13 17:08:47.127500,https://www.newsbtc.com/wp-content/uploads/2023/10/shutterstock_1922249036.jpg?resize=350%2C250,"The cryptocurrency landscape is once again rife with speculation as Bitcoin traverses its current fourth halving cycle. Amidst varied predictions, renowned crypto analyst CryptoCon's insights, grounded in the Gann Square...",https://www.newsbtc.com/news/bitcoin/analyst-bitcoin-cycle-top-89000-135000/,NEWSBTC,October 13 2023
24,24,Litecoin Turns 12: Here's How It Started,Alex Dovbnya,2023-10-13 16:15:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44081.jpg,"<p>Litecoin, one of the pioneering cryptocurrencies, recently <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/litecoin/status/1712797562930143558"">celebrated</a> its 12th anniversary, marking a significant milestone in its history. From its inception as the ""silver to Bitcoin's gold"" to its recent forays into NFTs, Litecoin's journey is a rare example of longevity and resilience in the crypto world.  </p>",http://u.today//litecoin-turns-12-heres-how-it-started,U Today,October 13 2023
23,23,"Elon Musk Triggers Reaction of DOGE, SHIB, XRP Armies; BTC Bulls Receive Warning from Peter Brandt, ADA Eyes 2,448% Surge Per This Prediction: Crypto News Digest by U.Today",Valeria Blokhina,2023-10-13 16:02:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44091.jpg,"<p dir=""ltr"">Check out U.Today's top three news stories over the past day.</p>",http://u.today//elon-musk-triggers-reaction-of-doge-shib-xrp-armies-btc-bulls-receive-warning-from-peter-brandt-ada,U Today,October 13 2023
22,22,XRP Price Turns Green After Six-Day Losing Streak,Tomiwabold Olajide,2023-10-13 16:00:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44089.jpg,"<p>The price of <a href=""https://u.today/xrp-moved-to-new-destination-as-price-drops-details"">XRP</a>, the fifth-largest cryptocurrency, turned green for the first time in six days. At the time of writing, XRP was up 0.83% in the last 24 hours to  $0.483.  </p>",http://u.today//xrp-price-turns-green-after-six-day-losing-streak,U Today,October 13 2023
20,20,Shibarium DeFi Might Chart New Trend With These 3 Factors,Godfrey Benjamin,2023-10-13 15:30:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44082.jpg,"<p dir=""ltr"">There is a visible trend being displayed by Shibarium, the Ethereum-based Layer-2 scaling solution, as concerns its decentralized finance (DeFi) ecosystem. Data from DeFiLlama shows an extended consolidation phase for the protocol's total value locked (TVL), which is <a rel=""nofollow"" target=""_blank"" href=""https://defillama.com/chain/Shibarium"">pegged</a> at $542,369 at the time of writing.</p>",http://u.today//shibarium-defi-might-chart-new-trend-with-these-3-factors,U Today,October 13 2023
21,21,"SEC to Announce Grayscale ETF Decision Today, Here’s What Happens Otherwise",Yuri Molchan,2023-10-13 15:12:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44083.jpg,"<p lang=""en-GB"">The US securities and exchange regulatory body SEC is approaching the deadline for announcing its decision on whether it will approve Grayscale to convert its Bitcoin Trust (GBTC) into a Bitcoin spot ETF – this is expected to happen today at midnight.</p>",http://u.today//sec-to-announce-grayscale-etf-decision-today-heres-what-happens-otherwise,U Today,October 13 2023
19,19,Every XRP Holder Wins: Major Ripple Partner Brings out NFT Giveaway,Gamza Khanzadaev,2023-10-13 15:10:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44088.jpg,"<p dir=""ltr"">In a move that has captured the interest of the crypto community, <a rel=""nofollow"" target=""_blank"" href=""https://uphold.com/legal/uphold-xrp-army-promotion-terms-and-conditions"">Uphold</a>, a major crypto platform and partner of <a href=""https://u.today/ripple-clo-slams-crypto-policy-in-us-calls-for-radical-reforms"">Ripple</a>, has reminded everybody of a unique promotion that rewards every XRP holder. The Uphold XRP Army Promotion, which commenced on July 31, 2023, is gearing up for its grand finale at the end of this month, marking the last chance for participants to ascend the ranks.</p>",http://u.today//every-xrp-holder-wins-major-ripple-partner-brings-out-nft-giveaway,U Today,October 13 2023
10,10,Shiba Inu (SHIB) Undersold per This Indicator,Tomiwabold Olajide,2023-10-13 14:33:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44080.jpg,"<p>Dog-themed cryptocurrency <a href=""https://u.today/shiba-inu-shib-triggers-388-spike-in-whale-activity-what-to-watch"">Shiba Inu </a>might be undersold if going by its NVT ratio. <a rel=""nofollow"" target=""_blank"" href=""https://app.intotheblock.com/coin/SHIB/deep-dive?group=all&amp;chart=all"">IntoTheBlock</a>'s NVT indicator compares the market capitalization of a blockchain's native token to its total transacted value over a given period.</p>",http://u.today//shiba-inu-shib-undersold-per-this-indicator,U Today,October 13 2023
9,9,"SHIB, DOGE, BTC Accepted for Tickets for Taylor Swift's Eras Tour Movie: Details",Yuri Molchan,2023-10-13 14:03:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44075.jpg,"<p lang=""en-GB"">The news is spreading that, thanks to a new collaboration with the <a href=""https://u.today/shiba-inu-and-dogecoin-now-accepted-by-porsche-dealer"">BitPay crypto payment</a> gateway, SHIB, DOGE, ETH, XRP and many other cryptos will now be accepted for tickets to the new Taylor Swift movie, called ""The Eras Tour.""</p>",http://u.today//shib-doge-btc-accepted-for-tickets-for-taylor-swifts-eras-tour-movie-details,U Today,October 13 2023
8,8,"Cardano Unveils New Progress Report as Analyst Predicts 2,500% Rise in ADA Price",Gamza Khanzadaev,2023-10-13 13:48:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44079.jpg,"<p dir=""ltr"">In a revelation today, Cardano, the blockchain project known for its ADA token, released its weekly development <a rel=""nofollow"" target=""_blank"" href=""https://www.essentialcardano.io/development-update/weekly-development-report-as-of-2023-10-13"">report</a>. The report comes hot on the heels of a bold prediction by analyst Ali Martinez, who suggested that ADA could experience a staggering 2,500% surge in value.</p>",http://u.today//cardano-unveils-new-progress-report-as-analyst-predicts-2500-rise-in-ada-price,U Today,October 13 2023
